model,mae,rmse,r2,pearson,ablation,feature_set,status
A1_lstm,0.004689497323660412,0.0054454221926229125,-0.634094273602098,0.06193676923530333,A1,log_price_only,ok
A2_lstm,0.0044983284669718425,0.005279911059399453,-0.5362687904308789,0.26195701187216625,A2,log_price_velocity,ok
A3_lstm,0.003304829613015045,0.0042646198795073705,-0.0022467306132130105,0.21638668458928045,A3,kinematics,ok
A4_lstm,0.003881224004820508,0.004985181519275516,-0.3695438652729537,0.0472925496579226,A4,full_domain,ok
