model,mae,rmse,r2,pearson,regime_threshold,regime_accuracy,regime_precision,regime_recall,regime_f1,regime_roc_auc,regime_pr_auc,regime_tn,regime_fp,regime_fn,regime_tp
naive_past_volatility,0.003684331324148154,0.005127161563656704,-0.4486651075192716,0.2749904168810115,0.01863912237024479,0.8757640369580668,0.033602150537634407,0.1388888888888889,0.05411255411255411,0.7117870167760757,0.04560605495565023,6136.0,719.0,155.0,25.0
ridge,0.003916990720847649,0.00516679251546634,-0.47114688906758184,0.24394500032867927,0.30030322074890137,0.8774697938877043,0.012857142857142857,0.05,0.020454545454545454,0.35640246373287954,0.019024579067677922,6164.0,691.0,171.0,9.0
lasso,0.003385631774910266,0.004477661768958458,-0.10488369370324202,0.2747519239103224,0.30030322074890137,0.8774697938877043,0.012857142857142857,0.05,0.020454545454545454,0.35640246373287954,0.019024579067677922,6164.0,691.0,171.0,9.0
random_forest_regressor,0.0036461912655826488,0.004532261333067978,-0.13199336514202775,0.16527539286698492,0.24995035838428348,0.9142857142857143,0.006993006993006993,0.016666666666666666,0.009852216748768473,0.5655685225707108,0.027093054060428758,6429.0,426.0,177.0,3.0
gradient_boosting_regressor,0.0037340530074219166,0.0047286087021071194,-0.2321987060568762,0.2443685920328401,0.20519881994197586,0.8938166311300639,0.03600654664484452,0.12222222222222222,0.05562579013906448,0.5506361941810519,0.03058617004704724,6266.0,589.0,158.0,22.0
